graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.95,1e-08,0.01,15,1,1.4895,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-08,0.3,15,1,2.9455,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-08,1.0,15,1,3.1888,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-06,0.0001,15,1,1.454,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-06,0.001,15,1,1.4556,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-06,0.01,15,1,1.4719,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-06,0.3,15,1,2.4373,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-06,1.0,15,1,3.1789,"[14, 2, 5, 6, 3, 11, 1, 9, 10, 12, 8, 13, 7, 4, 0]","[0.2987, 0.2809, 0.2922, 0.1229, 0.2353, 0.2256, 0.0726, 0.2857, 0.1612, 0.2592, 0.0901, 0.1849, 0.3863, 0.3752]","[313.0543, 1280.5965, 1750.6828, 1940.9646, 2267.4642, 2705.1789, 3450.1963, 3677.8788, 4348.023, 5180.8685, 5657.0977, 6357.6625, 6488.4541, 6859.5434, 0.0]",success,
0.95,0.0001,0.0001,15,1,1.4539,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,0.0001,0.001,15,1,1.4539,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
